full_text,english_tweet,label,klasifikasi Bayes,Klasifikasi Bayes
gimana guys suka sama koreografi music video waktu bukti by officialjkt48 https t co tptv86xqnc,how do you guys like the music choreography proof time video by officialjkt48 https t co tptv86xqnc,Netral,Klasifikasi Bayes,Klasifikasi Bayes
saudaradina adriandhy aboorijal bakery toko roti fiktif film animasi indonesia jumbo 2025 latar kampung seruni nama aboorijal plesetan lucu kata original sering pakai komedi indonesia tiru ucap salah dengar mewah,adikaradina adriandhy aboorijal bakery fictitious bakery indonesian animated film jumbo 2025 seruni village background aboorijal name funny pun original word often use indonesian comedy mimic misheard luxury,Positif,,
wts promo tiket b1g1 cepol semua film harga 1 tiket  20k  2 tiket  cgv diskon 3k tiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok batas  zonauang https t co dlhotnqlio,wts ticket promo b1g1 cepol all movies price 1 ticket  20k  2 tickets  cgv discount 3k ticket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back super family irit stock limit  zonauang https t co dlhotnqlio,Positif,,
tau ajakin kakak ku ajkin bayar mungkin kita biarin anak 9 tahun kaya bayar sendiri makanya tidak pernah minta itu sekarang nyesel film jumbo tidak tayang dia nonton fyi saya tidak pernah nonton film ga,know ajakin my brother ajkin pay maybe we biarin children 9 years old rich pay for it ourselves that's why never asked for it now nyesel jumbo movie not airing he watched it fyi i never watched the movie ga,Positif,,
film jumbo tidak pikir buat ngajakin dia adik emang bukan tipe orang maksain mau nonton dia beberapa kali ngode itu sering bilang jumbo si apa tidak pernah minta buat nonton kondisi keluarga sekarang emang baik ekonomi dia,"jumbo movies don't think for him to see his brother, he's not the type of max person who wants to watch him a few times coding it often says jumbo, what he never asked to watch the family's condition now is good for the economy",Positif,,
eps 2 pt 1 allobankid  day 2 sedikit sedikit engkau teman baik treasure mau nyanyi brng prince poetiray alas ponakan di kalimantan suka banget sm film jumbo hadiah buat karena bln ultah pasbuatkamu allobankfestival2025,eps 2 pt 1 allobankid  day 2 a little bit you're a good friend treasure want to sing brng prince poetiray alas nephew in kalimantan love sm movie jumbo gift for because bln birthday pasbuatkamu allobankfestival2025,Positif,,
wts promo voucher nonton cepol beli 1 gratis 1 b1g1 minat wa zonauang film how to train your dragon gjls ibu ibu ibu keluarga super irit da evil eye tak usai sini mission impossible ballerina waktu maghrib 2 tenung jumbo gjls ibu ibu review,wts promo voucher watch cepol buy 1 free 1 b1g1 interest wa zonauang film how to train your dragon gjls mother mother family super irit da evil eye not finished here mission impossible ballerina maghrib time 2 divination jumbo gjls mother review,Negatif,,
adriandhy min adain film jumbo netflix netflixid mau rewatch 100x,adriandhy min adain film jumbo netflix netflixid want to rewatch 100x,Netral,,
bicaraboxoffice visinemaid jumbofilm id adriandhy bangga jadi bagi 10 juta lebih tonton klo dlu core memory mamak film tualang sherina sekarang core memory anak film jumbo ost ny hapal film tayang pula i m sooooo happy ,bicaraboxoffice visinemaid jumbofilm id adriandhy proud to be for 10 million more watch klo dlu core memory mamak film tualang sherina now core memory anak film jumbo ost ny hapal film aired anyway i m sooooo happy,Positif,,
bangghulam cinepoint awal jumbo 60 ribu masih baru beda gjls famous makanya launching langsung joss jumbo jadi film lebaran alternatif kompetitor horror selingkuh dapat 1 jt 1 minggu pertama,bangghulam cinepoint early jumbo 60 thousand is still new different gjls famous so the direct launch of joss jumbo becomes an alternative Eid film for horror competitors cheating can be 1 million 1 week first,Positif,,
