full_text,english_tweet,label,klasifikasi Bayes
gimana guys suka sama koreografi music video waktu bukti by officialjkt48 https t co tptv86xqnc,how do you guys like the music choreography proof time video by officialjkt48 https t co tptv86xqnc,Netral,Klasifikasi Bayes
saudaradina adriandhy aboorijal bakery toko roti fiktif film animasi indonesia jumbo 2025 latar kampung seruni nama aboorijal plesetan lucu kata original sering pakai komedi indonesia tiru ucap salah dengar mewah,adikaradina adriandhy aboorijal bakery fictitious bakery indonesian animated film jumbo 2025 seruni village background aboorijal name funny pun original word often use indonesian comedy mimic misheard luxury,Positif,
wts promo tiket b1g1 cepol semua film harga 1 tiket  20k  2 tiket  cgv diskon 3k tiket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back keluarga super irit stok batas  zonauang https t co dlhotnqlio,wts ticket promo b1g1 cepol all movies price 1 ticket  20k  2 tickets  cgv discount 3k ticket promo gjls final destination mi jumbo lilo stitch ballerina how to train ur dragon gowok hifive bring her back super family irit stock limit  zonauang https t co dlhotnqlio,Positif,
tau ajakin kakak ku ajkin bayar mungkin kita biarin anak 9 tahun kaya bayar sendiri makanya tidak pernah minta itu sekarang nyesel film jumbo tidak tayang dia nonton fyi saya tidak pernah nonton film ga,know ajakin my brother ajkin pay maybe we biarin children 9 years old rich pay for it ourselves that's why never asked for it now nyesel jumbo movie not airing he watched it fyi i never watched the movie ga,Positif,
film jumbo tidak pikir buat ngajakin dia adik emang bukan tipe orang maksain mau nonton dia beberapa kali ngode itu sering bilang jumbo si apa tidak pernah minta buat nonton kondisi keluarga sekarang emang baik ekonomi dia,"jumbo movies don't think for him to see his brother, he's not the type of max person who wants to watch him a few times coding it often says jumbo, what he never asked to watch the family's condition now is good for the economy",Positif,
eps 2 pt 1 allobankid  day 2 sedikit sedikit engkau teman baik treasure mau nyanyi brng prince poetiray alas ponakan di kalimantan suka banget sm film jumbo hadiah buat karena bln ultah pasbuatkamu allobankfestival2025,eps 2 pt 1 allobankid  day 2 a little bit you're a good friend treasure want to sing brng prince poetiray alas nephew in kalimantan love sm movie jumbo gift for because bln birthday pasbuatkamu allobankfestival2025,Positif,
wts promo voucher nonton cepol beli 1 gratis 1 b1g1 minat wa zonauang film how to train your dragon gjls ibu ibu ibu keluarga super irit da evil eye tak usai sini mission impossible ballerina waktu maghrib 2 tenung jumbo gjls ibu ibu review,wts promo voucher watch cepol buy 1 free 1 b1g1 interest wa zonauang film how to train your dragon gjls mother mother family super irit da evil eye not finished here mission impossible ballerina maghrib time 2 divination jumbo gjls mother review,Negatif,
adriandhy min adain film jumbo netflix netflixid mau rewatch 100x,adriandhy min adain film jumbo netflix netflixid want to rewatch 100x,Netral,
bicaraboxoffice visinemaid jumbofilm id adriandhy bangga jadi bagi 10 juta lebih tonton klo dlu core memory mamak film tualang sherina sekarang core memory anak film jumbo ost ny hapal film tayang pula i m sooooo happy ,bicaraboxoffice visinemaid jumbofilm id adriandhy proud to be for 10 million more watch klo dlu core memory mamak film tualang sherina now core memory anak film jumbo ost ny hapal film aired anyway i m sooooo happy,Positif,
bangghulam cinepoint awal jumbo 60 ribu masih baru beda gjls famous makanya launching langsung joss jumbo jadi film lebaran alternatif kompetitor horror selingkuh dapat 1 jt 1 minggu pertama,bangghulam cinepoint early jumbo 60 thousand is still new different gjls famous so the direct launch of joss jumbo becomes an alternative Eid film for horror competitors cheating can be 1 million 1 week first,Positif,
hari ke-75 jum at 13 6 film jumbo keluar bioskop java supermall ada 2 bioskop semarang kofindo,75th day Friday at 13 6 jumbo movies out of java supermall cinema there are 2 semarang kofindo cinemas,Netral,
hari 75 jadwal putar film jumbo jum at 13 6 mangkang 11 50 citra 14 35 18 55,day 75 jumbo movie screening schedule jum at 13 6 mangkang 11 50 image 14 35 18 55,Netral,
turut senang film jumbo sukses tapi maaf sekali bang ryan hidup yang ngalor ngidul tidak sempat diri buat nonton,also happy that the jumbo movie was successful but I'm so sorry that bang ryan live that ngalor ngidul didn't have time to watch,Positif,
irfadio adriandhy beda itu biar gjls ibu ibu ibu jalan sendiri malu semua misal film ngalahin jumbo film baik nomor satu indonesia panjang masa ada warga indonesia bully warga negara lain goblok,irfadio adriandhy different that let gjls mother mother walk alone embarrassed all eg film ngalahin jumbo film baik number one indonesia length of time there are Indonesian citizens bully citizens of other countries stupid,Negatif,
rigensih harus tara jumbo lah bang tonton ingat film gjls kan jumbo nya 3,rigensih must tara jumbo lah bang watch remember the movie gjls kan jumbo nya 3,Netral,
another tweet about gjls and jumbo baru sadar semester saya dan cuma nonton film indo sangat sangat magis beda satu magis sihir peri dongeng masa kecil satu magis macem sihir dukun santet https t co qypoozqkgv,another tweet about gjls and jumbo just realized my semester and just watching indo movies is very very magical different one magic magic fairy fairy fairy childhood one magic macem magic witch santet https t co qypoozqkgv,Positif,
hahahahah kasi banget tonton indonesia diusahain dipinterin lalu jumbo lalu kemudian dibalikin jadi goblok sama gjls bocorin gimana cara yakin investor ide film ginian plissssss  pikir kuyup yang paling goblok gjls https t co qhd1ykpjrx,hahahah kasi really watch indonesia diusahain dipinterin then jumbo and then turned around so stupid with gjls leakin how to be sure investors ginian plissssss movie ideas think drenched the most stupid gjls https t co qhd1ykpjrx,Negatif,
rigensih pak gen nonton bella terra tadi satu bioskop ketawa ngakak lucu goblokk bangettt makasih udsh buat film sehahwkwkwkwk ini capek kerja hari langsung neng lagi nontonnya moga berkah buat 3 jumbo gjls,rigensih sir gen watched bella terra earlier one movie theater laugh no funny goblokk reallyettt thank you udsh for this movie sehahwkwkwkwk tired of working straight day neng again watching it good luck for 3 jumbo gjls,Positif,
besok mau nonton film jumbo bioskop pertama kali ambivert suka ramai juga suka sunyi  jadi nonton filmjumbo sekarang rasa pas tidak ramai alhamdulillah tayang jogja,tomorrow i want to watch jumbo movie cinema for the first time ambivert likes to be crowded also likes to be quiet  so watching jumbo movie now it feels right not to be crowded alhamdulillah airing jogja,Positif,
thisisyudhis film favorit fast and furious tokyo drift jumbo nah baru pas klo gin lancer evo laju,thisisyudhis favorite movie fast and furious tokyo drift jumbo well new fit klo gin lancer evo speed,Positif,
chtaeryeong hehehe tmi trainee juga jadi pimpin loh terima kasih kakak puji jadi malu deh karena kakak cantik jadi kakak nonton film jumbo,"chtaeryeong hehehe tmi trainee also became the leader, thank you, brother, praise you for being embarrassed because you are beautiful so you watch jumbo movies",Positif,
adriandhy u guys at the top congrats n enjoy kira2 kalian tahan berapa lama  ayo film indonesia nya siap film baru buat menggoncang rahta jumbo  semangat sineas indonesia,adriandhy u guys at the top congrats n enjoy about how long you guys last how long  let's go the Indonesian film is ready for a new film to shake the rahta jumbo the spirit of Indonesian filmmakers,Positif,
hifdzikhoir mas hip tonton film gjls berapa juta  ngelewatin jumbo ,hifdzikhoir mas hip watch film gjls how many million  ngelewatin jumbo,Positif,
saras yudhis ingin kubur duka jenazah sang ayah justru bangkit jalan apa benar selesai inspirasi kisah nyata podcast lentera malam filmselepastahlil tayang 10 juli 2025 bioskop lenteramalam https t co q7toqwiwrn,"saras yudhis wants to bury the corpse of the father instead of rising up the way is it true to finish the inspiration of the true story podcast lantern night filmselepastahlil aired July 10, 2025 cinema lenteramalam https t co q7toqwiwrn",Positif,
ekky1995 pecah rekor film jumbo tonton 40 juta pilih anies,ekky1995 broke the jumbo film record to watch 40 million select anies,Netral,
sirsangwon aight bruh i got it the moment air dingin hits kaki all problems just vanished lucu banget u seperti nurman film jumbo suka banget nyatet-nyatet yess indah samsat sore hari,sirsangwon aight bruh i got it the moment cold water hits the feet all problems just vanished really cute u like nurman jumbo movie like really nyatet-nyatet yess beautiful samsat afternoon,Positif,
fuckanyghost apa judul film grok,fuckanyghost what is the title of the movie grok,Netral,
sedihh belum sempat nonton film tapi ku ucap selamat salut jumbo seluruh tim tonton supporter film moga selalu sukses depan terus karya,sadh haven't had time to watch the movie but I congratulate jumbo all the team watching the film supporter moga always success ahead of the work,Positif,
adriandhy bang ryan semua kawan balik layar jumbo terimakasih jumbo sudah bikin film hangat sepenuh cinta ini tunggu karya selanjutnyaaaa,adriandhy bang ryan all friends behind the scenes jumbo thank you jumbo for making this warm film full of love wait for the next work,Positif,
signing outt masih tayang kok bioskop showtime tipiss jadi akun bibo cinepoint henti tracking performancenyaa,signing outt still airs how come the cinema showtime tipiss so bibo cinepoint account stop tracking performance,Netral,
diagram wakil rasa jadi buzzerjumbo campur aduk banget senang haru bangga pokok sayang banget sama jumbo kalian bukan cuma tonton bagi jalan film ini kalian film jumbo akan besar ini terima kasih yaa teman https t co utfy6yarja,the diagram of the vice of taste so buzzerjumbo is mixed up very happy to be proud of the tree dear to jumbo you are not just watching for the road of this film you are jumbo films will be great thank you friends https t co utfy6yarja,Positif,
film baru kamis 12 6 tayang  1 gaza  2 senyum manies love story  3 the dark house  4 keluarga super irit  5 gjls ibu ibu  6 gowok kamasutra jawa uncut 7 tak usai sini 8 tenung by risa saraswati amp dimasta 9 waktu maghrib 2 10 jumbo gt gt,new movie Thursday 12 6 aired  1 gaza  2 smile manies love story  3 the dark house  4 super economical family 5 gjls mother  6 gowok kamasutra jawa uncut 7 tak finished here 8 divinations by risa saraswati amp dimasta 9 maghrib time 2 10 jumbo gt gt,Positif,
tonton gjls hari pertama di atas jumbo hari pertama fix film nomer 1 indonesia locked rigensih hifdzikhoir anantarispo,watch gjls first day on top of jumbo first day fix film number 1 indonesia locked rigensih hifdzikhoir anantarispo,Positif,
hari 74 jadwal putar film jumbo kamis 12 6 mangkang 11 50 tinggal,day 74 jumbo movie play schedule Thursday 12 6 mangkang 11 50 left,Netral,
siang all promo nonton bioskop cepol b1g1 bogo bigi ready banyak untuk film  final destination bring her back mission impossible lilo amp stitch karate kid legends waktu magrib gundik jumbo ballerina tenung by risa halabala gowok https t co bfltfhyb6i zonauang,noon all promo watch cinema cepol b1g1 bogo bigi ready lot for film  final destination bring her back mission impossible lilo & stitch karate kid legends magrib concubine time jumbo ballerina divination by risa halabala gowok https t co bfltfhyb6i zonauang,Negatif,
